Title,Company,Location,Is_Remote,Rating,Salary,salary_low,salary_high,salary_avg,experience_level,tech_keywords,clean_location
Full Stack Software Engineer,The Boring Company3.3,"Bastrop, TX",False,3.3,$66K - $114K(Glassdoor est.),66000.0,114000.0,90000.0,Entry,Full Stack,Bastrop
Software Engineer,West Bend Insurance Company3.9,"West Bend, WI",False,3.9,$102K - $147K(Employer est.),102000.0,147000.0,124500.0,Entry,Other,West Bend
Full Stack Engineer,Prometheum3.6,Remote,True,3.6,$120K - $180K(Employer est.),120000.0,180000.0,150000.0,Entry,Full Stack,Remote
Java Software Engineer,"Vestmark, Inc.3.6","Wakefield, MA",False,3.6,$101K - $143K(Glassdoor est.),101000.0,143000.0,122000.0,Entry,Java,Wakefield
Software Engineer - Platform Foundation,Blend2.7,"Carolina Beach, NC",False,2.7,$122K - $144K(Employer est.),122000.0,144000.0,133000.0,Entry,Other,Carolina Beach
Software Development Engineer,Expedia Group3.8,"Springfield, MO",False,3.8,$95K - $151K(Employer est.),95000.0,151000.0,123000.0,Entry,Other,Springfield
Software Engineer,"Scanslated, Inc.",Remote,True,3.9,$75K(Employer est.),75000.0,75000.0,75000.0,Entry,Other,Remote
"Software Engineer, UI",Tecton4.8,"San Francisco, CA",False,4.8,$176K - $210K(Employer est.),176000.0,210000.0,193000.0,Entry,Other,San Francisco
Senior Software Engineer - Pricing & Promotions,CVS Health3.2,"Boston, MA",False,3.2,$102K - $284K(Employer est.),102000.0,284000.0,193000.0,Senior,Other,Boston
"Senior Software Engineer - SPFx, Graph API",Meijer3.3,"Boon, MI",False,3.3,$100K - $156K(Employer est.),100000.0,156000.0,128000.0,Senior,Other,Boon
Sr Software Development Engineer,CVS Health3.2,"Richardson, TX",False,3.2,$93K - $185K(Employer est.),93000.0,185000.0,139000.0,Entry,Other,Richardson
Software Engineer,UKG3.4,"Weston, FL",False,3.4,$89K - $128K(Employer est.),89000.0,128000.0,108500.0,Entry,Other,Weston
Software Engineer - Data Plat,"Twitch Interactive, Inc.3.6","San Francisco, CA",False,3.6,$100K - $200K(Employer est.),100000.0,200000.0,150000.0,Entry,Data,San Francisco
Software Engineer,Qualcomm3.9,"San Diego, CA",False,3.9,$135K - $202K(Employer est.),135000.0,202000.0,168500.0,Entry,Other,San Diego
Software Engineer,OMRON3.2,"Chatsworth, CA",False,3.2,$98K - $120K(Employer est.),98000.0,120000.0,109000.0,Entry,Other,Chatsworth
Software Development Engineer 2,Adobe4.2,"San Jose, CA",False,4.2,$93K - $171K(Employer est.),93000.0,171000.0,132000.0,Mid,Other,San Jose
Software Engineer,Barclays3.9,"New York, NY",False,3.9,$120K - $175K(Employer est.),120000.0,175000.0,147500.0,Entry,Other,New York
Software Engineer,"Pinehurst Coin Exchange, Inc.","Pinehurst, NC",False,3.9,$50K - $85K(Employer est.),50000.0,85000.0,67500.0,Entry,Other,Pinehurst
2025 University Graduate - Software Engineer,Adobe4.2,"New York, NY",False,4.2,$76K - $152K(Employer est.),76000.0,152000.0,114000.0,Mid,Other,New York
Full Stack Software Engineer II,Technergetics4.6,"Rome, NY",False,4.6,$90K - $115K(Employer est.),90000.0,115000.0,102500.0,Mid,Full Stack,Rome
QA Software Engineer - Manual,"Perceptive Recruiting, LLC","Greenville, SC",False,3.9,Not Disclosed,,,,Entry,Other,Greenville
Full-Stack Engineer,Navia Benefit Solutions3.7,"Overland Park, KS",False,3.7,$110K - $120K(Employer est.),110000.0,120000.0,115000.0,Entry,Other,Overland Park
IT Software Engineer - SAP Production Planning,Procter & Gamble4.1,"Cincinnati, OH",False,4.1,Not Disclosed,,,,Entry,Other,Cincinnati
Software Development Engineer in Test (SDET),Expleo4.5,"Rochester, MN",False,4.5,$65.00 Per Hour(Employer est.),135200.0,135200.0,135200.0,Entry,Other,Rochester
Software Engineer - Robotics - 0 - 3 years,Murphy Search Group,"Hartford, CT",False,3.9,$68K - $118K(Glassdoor est.),68000.0,118000.0,93000.0,Senior,Other,Hartford
Software Engineer II,Affirm3.8,Remote,True,3.8,$142K - $210K(Employer est.),142000.0,210000.0,176000.0,Mid,Other,Remote
Senior Software Engineer - Pacing,The Trade Desk4.2,"New York, NY",False,4.2,$125K - $229K(Employer est.),125000.0,229000.0,177000.0,Senior,Other,New York
Software Engineer- Frontend,Zoom3.5,"San Jose, CA",False,3.5,$98.00 Per Hour(Employer est.),203840.0,203840.0,203840.0,Entry,Frontend,San Jose
Software Engineer,GEICO2.6,"Chevy Chase, MD",False,2.6,$130K - $260K(Employer est.),130000.0,260000.0,195000.0,Entry,Other,Chevy Chase
Senior Software Engineer II,WALGREENS3.1,"Deerfield, IL",False,3.1,$128K - $204K(Employer est.),128000.0,204000.0,166000.0,Senior,Other,Deerfield
Software Engineer (Integrations & Partnerships),Toma,"San Francisco, CA",False,3.9,$180K - $250K(Employer est.),180000.0,250000.0,215000.0,Entry,Other,San Francisco
Software Test Engineer II,Cox Automotive3.9,"Atlanta, GA",False,3.9,$79K - $119K(Employer est.),79000.0,119000.0,99000.0,Mid,Other,Atlanta
Staff Software Engineer - Full Stack Engineer,Yum! Brands3.9,"Plano, TX",False,3.9,$135K - $182K(Employer est.),135000.0,182000.0,158500.0,Entry,Full Stack,Plano
Software Developer I/II,Fairfax County Public Schools3.8,"Fairfax, VA",False,3.8,$81K - $138K(Employer est.),81000.0,138000.0,109500.0,Mid,Other,Fairfax
Software Engineer 1 (Engineer Software 1) 23097,HII3.5,"'Aiea, HI",False,3.5,$62K - $90K(Employer est.),62000.0,90000.0,76000.0,Senior,Other,'Aiea
Software Development Engineer 3,Adobe4.2,"San Jose, CA",False,4.2,$113K - $206K(Employer est.),113000.0,206000.0,159500.0,Senior,Other,San Jose
Software Engineer II,Honeywell4.1,"Raleigh, NC",False,4.1,$91K - $111K(Glassdoor est.),91000.0,111000.0,101000.0,Mid,Other,Raleigh
Software Engineer I - .Net - Hybrid,Unum3.7,"Chattanooga, TN",False,3.7,$61K - $123K(Employer est.),61000.0,123000.0,92000.0,Entry,Other,Chattanooga
Backend Software Engineer - Game Server Hosting,Electronic Arts4.1,"Austin, TX",False,4.1,$96K - $171K(Employer est.),96000.0,171000.0,133500.0,Entry,Backend,Austin
JUNIOR/MIDLEVEL SOFTWARE ENGINEER,Intone Networks4.2,"Frisco, TX",False,4.2,Not Disclosed,,,,Entry,Other,Frisco
"Software Engineer, CI/CD",Vercel4.5,United States,False,4.5,$156K - $270K(Employer est.),156000.0,270000.0,213000.0,Entry,Other,Remote
Software Engineer I,"THE TIRE RACK, INC3.4","South Bend, IN",False,3.4,$75K - $85K(Employer est.),75000.0,85000.0,80000.0,Entry,Other,South Bend
"Senior Software Engineer 1, Onboarding",The Farmer's Dog3.3,United States,False,3.3,$170K - $195K(Employer est.),170000.0,195000.0,182500.0,Senior,Other,Remote
Software Quality Engineer I,Abbott Laboratories3.8,"Sylmar, CA",False,3.8,$72K - $115K(Employer est.),72000.0,115000.0,93500.0,Entry,Other,Sylmar
Software Developer I,Mascoma Bank3.8,"Lebanon, NH",False,3.8,Not Disclosed,,,,Entry,Other,Lebanon
Software Engineer,Johnson & Johnson4.1,"Santa Clara, CA",False,4.1,$91K - $144K(Glassdoor est.),91000.0,144000.0,117500.0,Entry,Other,Santa Clara
Junior C# Full Stack Developer / Software Developer I,Starwood Media,Remote,True,3.9,$50K - $75K(Employer est.),50000.0,75000.0,62500.0,Entry,Full Stack,Remote
Software Engineer,"Twitch Interactive, Inc.3.6","San Francisco, CA",False,3.6,$100K - $200K(Employer est.),100000.0,200000.0,150000.0,Entry,Other,San Francisco
"Software Engineer, Full Stack",Qumulo Careers3.7,"Seattle, WA",False,3.7,$142K - $214K(Employer est.),142000.0,214000.0,178000.0,Entry,Full Stack,Seattle
"Integration Engineer, Factory Software",Tesla3.5,"Austin, TX",False,3.5,$107K - $150K(Glassdoor est.),107000.0,150000.0,128500.0,Entry,Other,Austin
Associate Cloud Engineer/Site Reliability Engineer/SRE,CVS Health3.2,"Woonsocket, RI",False,3.2,$62K - $148K(Employer est.),62000.0,148000.0,105000.0,Entry,Cloud,Woonsocket
"Senior Software Engineer II, Caregiver Experience",Spring Health3.2,"New York, NY",False,3.2,$179K - $240K(Employer est.),179000.0,240000.0,209500.0,Senior,Other,New York
Software Developer,Corrisoft3.2,"Lexington, KY",False,3.2,$90K - $118K(Employer est.),90000.0,118000.0,104000.0,Not Specified,Other,Lexington
Chief Software Engineer,Ariento Inc.,"Franklin, TN",False,3.9,$125K - $175K(Employer est.),125000.0,175000.0,150000.0,Entry,Other,Franklin
"Java Software Engineer, Property & Recording",Tyler Technologies3.8,"Lakewood, CO",False,3.8,Not Disclosed,,,,Entry,Java,Lakewood
Networking Software Engineer,NVIDIA4.6,"Santa Clara, CA",False,4.6,$120K - $236K(Employer est.),120000.0,236000.0,178000.0,Entry,Other,Santa Clara
Software Engineer 1,Hologic3.8,"Newark, DE",False,3.8,$73K - $115K(Employer est.),73000.0,115000.0,94000.0,Entry,Other,Newark
Software Engineer,Jack Henry & Associates3.9,"Birmingham, AL",False,3.9,$78K - $123K(Employer est.),78000.0,123000.0,100500.0,Entry,Other,Birmingham
Junior Software Engineer,KBR4.1,"Colorado Springs, CO",False,4.1,$77K - $121K(Glassdoor est.),77000.0,121000.0,99000.0,Entry,Other,Colorado Springs
Software Engineer (Remote-US),Gnostech4.3,"Marlton, NJ",False,4.3,$82K - $127K(Glassdoor est.),82000.0,127000.0,104500.0,Entry,Other,Marlton
Software Engineer,PRADCO Outdoor Brands4.1,"Birmingham, AL",False,4.1,$68K - $107K(Glassdoor est.),68000.0,107000.0,87500.0,Entry,Other,Birmingham
"Software Engineer, Embedded, Level 3",Snapchat3.6,"San Diego, CA",False,3.6,$100K - $176K(Employer est.),100000.0,176000.0,138000.0,Senior,Other,San Diego
Senior Software Engineer,Salesforce4.1,"Bellevue, WA",False,4.1,$143K - $218K(Employer est.),143000.0,218000.0,180500.0,Senior,Other,Bellevue
"Senior Software Engineer, Backend - Fintech",Hopper2.9,"Ontario, CA",False,2.9,$150K - $330K(Employer est.),150000.0,330000.0,240000.0,Senior,Backend,Ontario
25-107 Software Engineer E4,Archarithms Inc3.4,"Huntsville, AL",False,3.4,Not Disclosed,,,,Mid,Other,Huntsville
Software Engineer,TOTAL WAREHOUSE INC3.0,"Anaheim, CA",False,3.0,$95K - $145K(Employer est.),95000.0,145000.0,120000.0,Entry,Other,Anaheim
Software Engineer,Spectro Cloud4.3,"San Jose, CA",False,4.3,$90K - $146K(Glassdoor est.),90000.0,146000.0,118000.0,Entry,Other,San Jose
Software Engineer,"Educational Networks, Inc.","Coral Gables, FL",False,3.9,$85K(Employer est.),85000.0,85000.0,85000.0,Entry,Other,Coral Gables
Early Career Software Engineer,Battelle3.9,"Columbus, OH",False,3.9,Not Disclosed,,,,Entry,Other,Columbus
Software Engineer Trainee,"Mill-Max Mfg., Corp3.5","Oyster Bay, NY",False,3.5,$60K - $90K(Employer est.),60000.0,90000.0,75000.0,Entry,Other,Oyster Bay
